n;univers;univers_nom;titre;pourquoi;refuser
1;arts;"Arts & Civilisations";"20 Fenchurch Street";"La façade concave concentrait tellement le soleil qu'elle faisait fondre la carrosserie des voitures garées en dessous.";
2;arts;"Arts & Civilisations";"4′33″";"Le pianiste ne joue aucune note pendant quatre minutes trente-trois, et cette absence de musique est protégée par le droit d'auteur.";
3;arts;"Arts & Civilisations";"Abou Simbel";"Les temples de Ramsès II ont été sciés en plus de mille blocs et remontés soixante mètres plus haut pour échapper au lac Nasser.";
4;arts;"Arts & Civilisations";"Acier de Damas";"Les lames à motifs ondés fabriquées jusqu'au XVIIIe siècle contenaient des nanotubes de carbone, et le procédé n'a jamais été retrouvé.";
5;arts;"Arts & Civilisations";"Adlam";"Deux frères adolescents de Guinée ont dessiné un alphabet pour le peul ; il figure aujourd'hui dans Unicode et sur les téléphones.";
6;arts;"Arts & Civilisations";"Affaire Gurlitt";"Un contrôle douanier de routine a mené à quatorze cents œuvres entassées depuis la guerre dans un appartement de Munich.";
7;arts;"Arts & Civilisations";"Akrotiri";"Une ville ensevelie sous la cendre volcanique a livré fresques et canalisations d'eau, mais pas un seul corps : tout le monde avait fui.";
8;arts;"Arts & Civilisations";"Alessandro Moreschi";"Seule voix de castrat jamais enregistrée : quelques cylindres de 1902 conservent un timbre que plus personne n'entendra jamais en vrai.";
9;arts;"Arts & Civilisations";"Alphabet deseret";"Les mormons de l'Utah ont imprimé livres et journaux dans un alphabet inventé pour eux, puis l'ont abandonné en vingt ans.";
10;arts;"Arts & Civilisations";"Alphabet shavien";"Bernard Shaw a légué sa fortune à qui créerait un alphabet anglais vraiment phonétique ; un concours a désigné le vainqueur après sa mort.";
11;arts;"Arts & Civilisations";"Ambiancé";"Un artiste suédois a annoncé un film de sept cent vingt heures, à projeter une seule fois, sans entracte ni pause.";
12;arts;"Arts & Civilisations";"Antoine Parmentier";"Pour imposer la pomme de terre, il a fait garder ses champs par des soldats le jour, afin qu'on vienne les voler la nuit.";
13;arts;"Arts & Civilisations";"Antonin Carême";"Le premier chef vedette dessinait ses pièces montées comme des temples et se disait architecte autant que cuisinier.";
14;arts;"Arts & Civilisations";"Archi (langue)";"Un seul verbe de cette langue du Caucase peut prendre plus d'un million et demi de formes différentes.";
15;arts;"Arts & Civilisations";"Armée de terre cuite";"Les huit mille soldats étaient peints de couleurs vives, mais la peinture s'écaille en quelques minutes au contact de l'air.";
16;arts;"Arts & Civilisations";"Arpeggione";"Schubert a écrit une sonate pour un instrument à cordes qui avait déjà disparu quelques années après son invention.";
17;arts;"Arts & Civilisations";"Automate écrivain de Jaquet-Droz";"Un enfant mécanique de 1774, fait de six mille pièces, écrit encore à la plume n'importe quel texte qu'on programme dans son ventre.";
18;arts;"Arts & Civilisations";"Ayapaneco";"Les deux derniers locuteurs de cette langue mexicaine habitaient à cinq cents mètres l'un de l'autre et refusaient de se parler.";
19;arts;"Arts & Civilisations";"Bandage des pieds";"Pour obtenir un pied de sept centimètres, on brisait les orteils de fillettes de cinq ans, et la pratique a duré mille ans.";
20;arts;"Arts & Civilisations";"Barque solaire de Khéops";"Un bateau de quarante-trois mètres, démonté en mille deux cent vingt-quatre pièces et enterré intact il y a 4 500 ans.";
21;arts;"Arts & Civilisations";"Beowulf";"L'unique manuscrit a brûlé sur ses bords en 1731 et s'effrite un peu plus à chaque fois qu'on le manipule.";
22;arts;"Arts & Civilisations";"Beurre de tourbière";"Des tonneaux de beurre enfouis il y a trois mille ans ressortent des tourbières irlandaises encore gras, et théoriquement comestibles.";
23;arts;"Arts & Civilisations";"Bibliopégie anthropodermique";"Des bibliothèques conservent des livres reliés en peau humaine, parfois celle du condamné dont le procès est raconté à l'intérieur.";
24;arts;"Arts & Civilisations";"Bibliothèque Anna Amalia";"Un incendie en 2004 a laissé des dizaines de milliers de volumes calcinés, que des restaurateurs recomposent encore fragment par fragment.";
25;arts;"Arts & Civilisations";"Bibliothèque d'Assurbanipal";"L'incendie qui a détruit Ninive a cuit les tablettes d'argile et sauvé ainsi la bibliothèque pour vingt-cinq siècles.";
26;arts;"Arts & Civilisations";"Bibliothèque nationale de Bosnie-Herzégovine";"En 1992, deux millions de livres ont brûlé à Sarajevo, et les cendres de papier retombaient sur la ville comme de la neige.";
27;arts;"Arts & Civilisations";"Bibliothèque publique de Jaffna";"L'incendie de 1981 a détruit quatre-vingt-dix mille ouvrages tamouls, dont des manuscrits uniques sur feuilles de palme.";
28;arts;"Arts & Civilisations";"Big Ben";"La cloche s'est fêlée quelques mois après son installation ; on l'a fait pivoter d'un quart de tour et son défaut est devenu sa voix.";
29;arts;"Arts & Civilisations";"Bitume de Judée";"La première photographie de l'histoire a été fixée avec un goudron fossile utilisé depuis l'Antiquité par les embaumeurs égyptiens.";
30;arts;"Arts & Civilisations";"Bleu Han";"Les Chinois fabriquaient un pigment au baryum exigeant mille degrés, puis en ont perdu le secret pendant deux mille ans.";
31;arts;"Arts & Civilisations";"Bleu YInMn";"Le premier bleu inorganique inédit depuis deux siècles est sorti par accident d'un four de laboratoire, en 2009.";
32;arts;"Arts & Civilisations";"Bleu de Prusse";"Né de l'erreur d'un alchimiste qui avait contaminé sa potasse, ce bleu sert aujourd'hui d'antidote aux empoisonnements au thallium.";
33;arts;"Arts & Civilisations";"Bleu maya";"Ce bleu précolombien tient huit siècles sous les tropiques, et l'on n'a compris sa recette d'argile et d'indigo cuits qu'au XXe siècle.";
34;arts;"Arts & Civilisations";"Bleu outremer";"Broyé à partir de lapis-lazuli afghan, il coûtait plus cher que l'or, et les contrats fixaient la quantité que le peintre pouvait employer.";
35;arts;"Arts & Civilisations";"Bleu égyptien";"Le premier pigment de synthèse de l'humanité émet dans l'infrarouge, ce qui permet aujourd'hui de repérer des traces invisibles à l'œil.";
36;arts;"Arts & Civilisations";"Boa Sr";"À sa mort en 2010, une langue des îles Andaman vieille de dizaines de milliers d'années s'est éteinte avec elle.";
37;arts;"Arts & Civilisations";"Borobudur";"Le plus grand temple bouddhiste du monde a disparu sous la cendre volcanique et la jungle pendant des siècles avant d'être redécouvert.";
38;arts;"Arts & Civilisations";"Bouddhas de Bâmiyân";"Leur destruction a mené aux grottes voisines, où l'on a trouvé les plus anciennes peintures à l'huile connues, bien avant l'Europe.";
39;arts;"Arts & Civilisations";"Bouteille de vin de Spire";"Scellée vers l'an 325, la seule bouteille de vin romain encore liquide n'a jamais été ouverte, personne n'osant en briser le sceau.";
40;arts;"Arts & Civilisations";"Bronzes de Riace";"Un plongeur en vacances a vu un bras sortir du sable : deux guerriers grecs en bronze, grandeur nature, intacts après vingt-cinq siècles.";
41;arts;"Arts & Civilisations";"Brun momie";"Une couleur de peintre fabriquée à partir de véritables momies égyptiennes. Utilisée jusqu'au XXe siècle.";
42;arts;"Arts & Civilisations";"Brundibár";"Cet opéra pour enfants fut joué cinquante-cinq fois au camp de Terezín, chaque distribution étant peu à peu déportée vers Auschwitz.";
43;arts;"Arts & Civilisations";"Buste de Néfertiti";"L'œil gauche n'a jamais été posé : le sculpteur a laissé la cavité vide, et son atelier a été retrouvé tel quel.";
44;arts;"Arts & Civilisations";"Béton romain";"Le mortier antique se répare tout seul quand l'eau de mer s'y infiltre, ce qui explique des ports intacts après deux mille ans.";
45;arts;"Arts & Civilisations";"Cahiers de prison";"Gramsci écrivait sous surveillance fasciste en remplaçant le mot marxisme par « philosophie de la praxis » pour tromper le censeur.";
46;arts;"Arts & Civilisations";"Cahokia";"Vers l'an 1100, cette ville de terre du Mississippi comptait plus d'habitants que Londres, avant d'être abandonnée sans explication.";
47;arts;"Arts & Civilisations";"Campanile de Saint-Marc";"Il s'est effondré en un tas de poussière un matin de 1902 sans tuer personne, et fut refait « comme il était, où il était ».";
48;arts;"Arts & Civilisations";"Canard digérateur";"Vaucanson exhibait un canard mécanique qui avalait du grain et le « digérait » devant la cour : la digestion était un compartiment truqué.";
49;arts;"Arts & Civilisations";"Cannibal Holocaust";"Les effets étaient si crédibles que le réalisateur a dû produire ses acteurs vivants devant un tribunal pour échapper à une accusation de meurtre.";
50;arts;"Arts & Civilisations";"Carnyx";"Cette trompette de guerre gauloise haute de deux mètres se terminait par une gueule de sanglier hurlante, au-dessus des têtes.";
51;arts;"Arts & Civilisations";"Carré Sator";"Cinq mots latins se lisent dans les quatre sens, gravés de Pompéi à l'Angleterre, sans qu'on sache ce qu'ils veulent dire.";
52;arts;"Arts & Civilisations";"Carte de Piri Reis";"Une carte ottomane de 1513, dessinée sur peau de gazelle, compilée à partir de sources dont une carte de Colomb aujourd'hui perdue.";
53;arts;"Arts & Civilisations";"Carte du Vinland";"Vendue comme la preuve d'une Amérique connue avant Colomb, elle a été démasquée par le titane présent dans l'encre du tracé.";
54;arts;"Arts & Civilisations";"Casu martzu";"Ce fromage sarde se mange avec ses larves vivantes, capables de bondir à quinze centimètres quand on les dérange.";
55;arts;"Arts & Civilisations";"Catacombes des Capucins de Palerme";"Huit mille morts habillés sont accrochés aux murs, dont une fillette embaumée en 1920 qui semble seulement endormie.";
56;arts;"Arts & Civilisations";"Cathédrale Saint-Jean-le-Divin";"Commencée en 1892, la plus grande cathédrale anglicane du monde est surnommée « Saint-Jean-l'Inachevé » et le reste encore.";
57;arts;"Arts & Civilisations";"Cathédrale Saint-Pierre de Beauvais";"Le chœur gothique le plus haut du monde s'est effondré deux fois, et la nef n'a jamais été construite.";
58;arts;"Arts & Civilisations";"Cathédrale de Cologne";"Interrompue trois siècles, elle a été achevée d'après les plans médiévaux retrouvés, avec la grue restée plantée en haut de la tour.";
59;arts;"Arts & Civilisations";"Ceci n'est pas un film";"Interdit de tourner par l'Iran, Panahi a filmé son assignation à résidence et fait sortir le fichier caché dans un gâteau.";
60;arts;"Arts & Civilisations";"Cent mille milliards de poèmes";"Dix sonnets découpés en bandes produisent cent mille milliards de poèmes : plus de deux cents millions d'années de lecture.";
61;arts;"Arts & Civilisations";"Chambre d'ambre";"Six tonnes d'ambre couvrant les murs d'une pièce entière ont disparu en 1945 et n'ont jamais été retrouvées.";
62;arts;"Arts & Civilisations";"Chand Baori";"Trois mille cinq cents marches en zigzag descendent treize étages sous terre pour atteindre l'eau au fond du puits.";
63;arts;"Arts & Civilisations";"Chaudron de Gundestrup";"Démonté et déposé dans une tourbière danoise, ce chaudron d'argent couvert de dieux celtes a probablement été martelé dans les Balkans.";
64;arts;"Arts & Civilisations";"Chips";"Excédé par un client qui trouvait ses frites trop épaisses, un cuisinier les a coupées si fines qu'on ne pouvait plus les piquer.";
65;arts;"Arts & Civilisations";"Chopine";"Les Vénitiennes portaient des semelles hautes de cinquante centimètres et ne pouvaient avancer qu'appuyées sur deux servantes.";
66;arts;"Arts & Civilisations";"Cimetière des chiens d'Asnières";"Le plus ancien cimetière animalier du monde honore un saint-bernard auquel on attribue quarante sauvetages en montagne.";
67;arts;"Arts & Civilisations";"Cimetière joyeux de Săpânța";"Les croix de bois peintes en bleu y racontent en vers drôles, parfois féroces, comment chaque villageois est réellement mort.";
68;arts;"Arts & Civilisations";"Citigroup Center";"Une étudiante a signalé un défaut qui menaçait la tour à chaque grande tempête ; on l'a réparée la nuit, en secret.";
69;arts;"Arts & Civilisations";"Citizen Kane";"Le magnat visé a tenté de racheter le négatif pour le brûler et a interdit à tous ses journaux de mentionner le film.";
70;arts;"Arts & Civilisations";"Cochenille";"Il faut des dizaines de milliers d'insectes séchés pour un kilo de ce rouge, longtemps deuxième richesse exportée du Mexique colonial.";
71;arts;"Arts & Civilisations";"Codex Gigas";"Un seul moine aurait copié cette bible d'un mètre de haut en une nuit, aidé par le diable qu'il a peint dedans.";
72;arts;"Arts & Civilisations";"Codex Seraphinianus";"Une encyclopédie d'un monde imaginaire, illisible par construction : l'auteur affirme lui-même que son écriture ne veut rien dire.";
73;arts;"Arts & Civilisations";"Colisée";"Un botaniste a recensé plus de quatre cents espèces de plantes dans les ruines, dont des végétaux venus d'Afrique avec les fauves.";
74;arts;"Arts & Civilisations";"Collection de films de Dawson City";"Des centaines de bobines de films muets perdus ont été retrouvées enfouies sous une patinoire du Yukon, conservées par le gel.";
75;arts;"Arts & Civilisations";"Colosses de Memnon";"Fissurée par un séisme, l'une des statues chantait à l'aube ; les Romains venaient l'écouter, jusqu'à ce qu'une restauration la fasse taire.";
76;arts;"Arts & Civilisations";"Comic Sans";"La police la plus moquée du monde a servi au CERN pour annoncer au monde la découverte du boson de Higgs.";
77;arts;"Arts & Civilisations";"Concerto pour la main gauche";"Ravel l'a écrit pour un pianiste amputé du bras droit à la guerre, qui a d'abord détesté la partition et l'a modifiée sans prévenir.";
78;arts;"Arts & Civilisations";"Consolation de la philosophie";"Boèce a écrit l'un des livres les plus lus du Moyen Âge en attendant, dans sa cellule, d'être exécuté.";
79;arts;"Arts & Civilisations";"Coral Castle";"Un homme d'un mètre cinquante affirme avoir déplacé seul, la nuit, plus de mille tonnes de roche, sans jamais dire comment.";
80;arts;"Arts & Civilisations";"Corn flakes";"Deux frères ont laissé rassir par mégarde une pâte de céréales, puis l'ont passée au rouleau : elle s'est brisée en pétales.";
81;arts;"Arts & Civilisations";"Coupe de Lycurgue";"Ce verre romain paraît vert en lumière réfléchie et rouge sang par transparence : il contient des nanoparticules d'or et d'argent.";
82;arts;"Arts & Civilisations";"Cratère de Vix";"Un vase de bronze de 1,64 mètre et 208 kilos, fabriqué en Grèce, dormait dans la tombe d'une princesse celte de Bourgogne.";
83;arts;"Arts & Civilisations";"Crazy Horse Memorial";"Commencée en 1948, la sculpture n'a encore que le visage terminé ; son nez mesure à lui seul près de huit mètres.";
84;arts;"Arts & Civilisations";"Crinoline";"Des milliers de femmes sont mortes brûlées ou happées par des machines à cause de ces jupes d'acier démesurées.";
85;arts;"Arts & Civilisations";"Cristal Baschet";"On en joue en frottant des tiges de verre avec les doigts mouillés, le son étant amplifié par d'immenses cônes de tôle.";
86;arts;"Arts & Civilisations";"Cristina Calderón";"Elle fut jusqu'en 2022 la dernière personne au monde à parler le yagan, la langue de la Terre de Feu.";
87;arts;"Arts & Civilisations";"Crêpe Suzette";"Un commis de seize ans a mis le feu par accident à sa sauce devant le prince de Galles, qui a trouvé l'accident délicieux.";
88;arts;"Arts & Civilisations";"Curon Venosta";"Un clocher roman émerge seul d'un lac du Tyrol du Sud, dernier vestige d'un village noyé sous les eaux en 1950.";
89;arts;"Arts & Civilisations";"Cypro-minoen";"Quelques centaines de signes gravés à Chypre à l'âge du bronze résistent encore aujourd'hui à toute tentative de lecture.";
90;arts;"Arts & Civilisations";"Céruse";"Le blanc des peintres et des visages de cour se fabriquait avec du plomb et du fumier, et rongeait la peau qu'il couvrait.";
91;arts;"Arts & Civilisations";"Damin";"Un langage cérémoniel australien à clics, réservé aux initiés, entièrement inventé de toutes pièces par une culture qui parlait déjà autre chose.";
92;arts;"Arts & Civilisations";"De profundis";"Wilde n'avait droit qu'à une feuille par jour en prison, reprise chaque soir par le gardien : il n'a jamais pu se relire.";
93;arts;"Arts & Civilisations";"De re coquinaria";"Le plus vieux livre de cuisine romain donne des recettes de loirs farcis et explique comment maquiller un vin tourné.";
94;arts;"Arts & Civilisations";"De rerum natura";"Un chasseur de manuscrits a trouvé en 1417, dans un couvent allemand, l'unique copie d'un poème latin niant l'immortalité de l'âme.";
95;arts;"Arts & Civilisations";"Derinkuyu";"Un homme abattant un mur de sa cave a découvert une ville souterraine de dix-huit niveaux pouvant abriter des milliers d'habitants.";
96;arts;"Arts & Civilisations";"Dictionnaire de la langue anglaise (Johnson)";"Un homme et six copistes ont mis neuf ans là où quarante académiciens français en avaient mis quarante.";
97;arts;"Arts & Civilisations";"Disque céleste de Nebra";"Vendu au marché noir par des pilleurs, ce bronze de 3 600 ans porte la plus ancienne représentation connue du ciel.";
98;arts;"Arts & Civilisations";"Doves Type";"Fâché avec son associé, un imprimeur a jeté nuit après nuit les caractères de plomb dans la Tamise ; on en a repêché un siècle plus tard.";
99;arts;"Arts & Civilisations";"Dünyayı Kurtaran Adam";"Ce film turc a inséré des séquences entières volées à Star Wars et la musique d'Indiana Jones, sans jamais rien demander à personne.";
100;arts;"Arts & Civilisations";"Ecce Homo (Borja)";"La restauration ratée d'une fresque par une paroissienne a transformé un village espagnol en destination touristique rentable.";
101;arts;"Arts & Civilisations";"Elena Ferrante";"L'autrice la plus lue d'Italie n'a jamais montré son visage, et l'enquête d'un journaliste sur ses droits d'auteur a fait scandale.";
102;arts;"Arts & Civilisations";"Eliezer Ben-Yehuda";"Il a élevé son fils dans une langue que plus personne ne parlait depuis dix-sept siècles, en l'isolant de toute autre voix.";
103;arts;"Arts & Civilisations";"Elmyr de Hory";"Il fabriquait un Matisse crédible en quelques heures, et des musées exposent encore des tableaux qu'on ne sait pas lui attribuer.";
104;arts;"Arts & Civilisations";"Emoji";"Les cent soixante-seize premiers pictogrammes, dessinés sur une grille de douze pixels pour un opérateur japonais, sont entrés au MoMA.";
105;arts;"Arts & Civilisations";"Empire (film)";"Warhol a filmé l'Empire State Building pendant huit heures, projetées au ralenti, et la salle s'est vidée dès la première heure.";
106;arts;"Arts & Civilisations";"Encyclopédie Yongle";"Onze mille volumes copiés à la main par deux mille lettrés en 1408 ; il en subsiste aujourd'hui moins de quatre cents.";
107;arts;"Arts & Civilisations";"Enheduanna";"La première personne de l'histoire à signer un texte de son nom était une prêtresse sumérienne, il y a plus de quatre mille ans.";
108;arts;"Arts & Civilisations";"Erased de Kooning Drawing";"Un jeune artiste a demandé un dessin à un maître pour l'effacer entièrement et exposer la feuille vide comme son œuvre.";
109;arts;"Arts & Civilisations";"Eric Hebborn";"Ce faussaire de dessins anciens a publié un manuel détaillant ses techniques, avant d'être retrouvé le crâne fracassé dans une rue de Rome.";
110;arts;"Arts & Civilisations";"Ern Malley";"Deux poètes ont fabriqué en une après-midi un poète mort et ses vers pris au hasard ; la revue dupée ne s'en est jamais remise.";
111;arts;"Arts & Civilisations";"Escalier de la chapelle Loretto";"Un escalier fait deux tours complets sans pilier central ni clou, et le charpentier serait reparti sans jamais réclamer son paiement.";
112;arts;"Arts & Civilisations";"Escape from Tomorrow";"Le film a été tourné clandestinement dans les parcs Disney, avec des appareils photo grand public et des dialogues lus sur des téléphones.";
113;arts;"Arts & Civilisations";"Fahrenheit 451";"Pendant treize ans, l'éditeur a vendu une version censurée du roman sur la censure, sans jamais en avertir Bradbury.";
114;arts;"Arts & Civilisations";"Fallen Astronaut";"Une figurine d'aluminium de huit centimètres a été déposée en secret sur la Lune en 1971, à côté d'une liste de morts.";
115;arts;"Arts & Civilisations";"Farinelli";"Pendant près de dix ans, il a chanté chaque nuit les quatre mêmes airs à un roi d'Espagne rongé par la mélancolie.";
116;arts;"Arts & Civilisations";"Faux carnets de Hitler";"Un magazine allemand a payé neuf millions de marks des carnets écrits au stylo-bille moderne sur du papier d'après-guerre.";
117;arts;"Arts & Civilisations";"Fernando Pessoa";"Il a écrit sous des dizaines d'identités auxquelles il donnait des dates de naissance, des styles opposés et des querelles entre elles.";
118;arts;"Arts & Civilisations";"Feu grégeois";"Une arme incendiaire byzantine qui continuait de brûler sur l'eau, gardée si secrète que sa recette est aujourd'hui perdue.";
119;arts;"Arts & Civilisations";"Fitzcarraldo";"Herzog a réellement fait hisser un bateau à vapeur de plusieurs centaines de tonnes par-dessus une colline amazonienne, sans trucage.";
120;arts;"Arts & Civilisations";"Flûte de Divje Babe";"Un fémur d'ours percé de trous, vieux de plus de cinquante mille ans, serait le plus ancien instrument de musique connu.";
121;arts;"Arts & Civilisations";"Fontaine (Duchamp)";"L'urinoir original a disparu presque aussitôt : tout ce qu'on expose aujourd'hui dans les musées n'est qu'une réplique tardive.";
122;arts;"Arts & Civilisations";"Fordlândia";"Ford a bâti une ville américaine en pleine Amazonie, avec bals et hamburgers imposés, avant d'y perdre ses hévéas et ses ouvriers.";
123;arts;"Arts & Civilisations";"Fragments de Sappho";"Des vers de Sappho ressortent des cartonnages de momies et d'une décharge égyptienne, vingt-six siècles après avoir été chantés.";
124;arts;"Arts & Civilisations";"Fraise (col)";"Ce col empesé obligeait à manger avec des couverts à long manche, et consommait parfois plusieurs mètres de dentelle.";
125;arts;"Arts & Civilisations";"Fraktur";"Les nazis ont d'abord imposé cette écriture gothique comme purement allemande, avant de l'interdire en la déclarant d'origine juive.";
126;arts;"Arts & Civilisations";"Frauenkirche de Dresde";"Reconstruite après 1994, elle intègre des milliers de pierres noircies repêchées dans les décombres, visibles comme des taches sombres.";
127;arts;"Arts & Civilisations";"Futura";"Les mots gravés sur la plaque laissée sur la Lune en 1969 sont composés dans un caractère dessiné dans l'esprit du Bauhaus.";
128;arts;"Arts & Civilisations";"Future Library";"Cent écrivains déposent un texte scellé jusqu'en 2114, qui sera imprimé sur une forêt norvégienne plantée exprès pour lui.";
129;arts;"Arts & Civilisations";"Garance";"Le rouge des pantalons de l'armée française venait d'une racine, et on l'a conservé jusqu'en 1914 parce qu'il était jugé national.";
130;arts;"Arts & Civilisations";"Gill Sans";"La typographie officielle des chemins de fer britanniques a été dessinée par un homme dont les journaux intimes ont révélé des crimes atroces.";
