qid;univers;titre_fr;titre_en;sources;potentiel;accord;statut;langues_ecrites;ajoute;ecrit;publie;phrase;apercu
Q596;cosmos;"(1) Cérès";"Ceres (dwarf planet)";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Piazzi l'a perdue de vue juste après l'avoir découverte ; un mathématicien de vingt-quatre ans l'a retrouvée par le seul calcul.";"(1) Cérès (désignation internationale (1) Ceres) est un astéroïde et une planète naine du Système solaire. C'est la seule planète naine située dans la ceinture d'astéroïdes, dont elle constitue environ un tiers de la masse totale."
Q242309;cosmos;"51 Pegasi b";"51 Pegasi b";"phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"La première planète découverte autour d'une autre étoile boucle son année en quatre jours, ce que personne ne croyait possible.";"51 Pegasi b (en abrégé 51 Peg b), aussi nommée Dimidium, est une planète extrasolaire (exoplanète) confirmée en orbite autour de l'étoile 51 Pegasi, une sous-géante (classe de luminosité IV) jaune (type spectral G) de magnitude apparente 5,49 et située à une distance d'environ 51 années-lumière (15,"
Q7259;sciences;"Ada Lovelace";"Ada Lovelace";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"En 1843, elle a écrit le premier programme de l'histoire pour une machine jamais construite, en prédisant qu'un jour elle composerait de la musique.";"Ada Lovelace, de son nom complet Augusta Ada King, comtesse de Lovelace, née Augusta Ada Byron le 10 décembre 1815 à Londres et morte le 27 novembre 1852 à Marylebone dans la même ville, est une pionnière de la science informatique."
Q23901473;arts;"Ambiancé";"Ambiancé";"insolite+phare";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Un artiste suédois a annoncé un film de sept cent vingt heures, à projeter une seule fois, sans entracte ni pause.";"Ambiancé est un film expérimental suédois conçu et réalisé par Anders Weberg et supposément sorti en 2020. La version intégrale du film, dont la durée supposée est de 720 heures — soit 30 jours, n'est finalement jamais projetée."
Q736374;sciences;"Ampoule centenaire";"Centennial Light";"insolite+phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Suspendue dans une caserne californienne, cette ampoule éclaire sans discontinuer depuis 1901 et a survécu à trois webcams chargées de la surveiller.";"L'ampoule centenaire, ou ampoule de Livermore (en anglais Centennial Light, en entier Livermore Centennial Light Bulb), est une lampe à incandescence d'une puissance de quatre watts, qui brillerait depuis 1901."
Q630678;mysteres;"Arbre du Ténéré";"Tree of Ténéré";"insolite+phare+saviez";10;6;publie;"fr";2026-09-03;;2026-09-05;"L'arbre le plus isolé du monde, seul acacia sur quatre cents kilomètres de désert, a été renversé en 1973 par un camionneur qui l'a percuté.";"L'Arbre du Ténéré était un acacia solitaire, de l'espèce Vachellia tortilis (synonymes : Acacia raddiana ou Acacia tortilis), qui fut à une époque considéré comme l'arbre le plus isolé de la Terre."
Q999;sciences;"Astate";"Astatine";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"L'élément le plus rare de la croûte terrestre y est présent en moins de trente grammes à tout instant, et personne n'en a jamais vu un morceau.";"L'astate est un radioélément, de symbole At et de numéro atomique 85. C'est le plus rare des éléments chimiques hors transuraniens trouvés naturellement dans la croûte terrestre, où il est produit par décroissance radioactive d'éléments plus lourds."
Q22718;vivant;"Axolotl";"Axolotl";"insolite+phare+saviez";10;4;publie;"fr";2026-09-03;;2026-09-04;"Il reste larve toute sa vie, se reproduit sans jamais devenir adulte et repousse ses pattes, sa mâchoire, son cœur et des morceaux de son cerveau sans cicatrice.";"L’Axolotl \ak.sɔ.lɔtl\, Ambystoma mexicanum, est une espèce de salamandre néoténique faisant partie de l'ordre des urodèles et de la famille des Ambystomatidae."
Q3040;terre;"Baie d'Hudson";"Hudson Bay";"phare+saviez";10;0;ecrit;"fr";2026-09-03;2026-09-07;;"On y pèse légèrement moins qu'ailleurs : la croûte ne s'est pas encore relevée du glacier disparu il y a dix mille ans.";"La baie d'Hudson (prononcé : /bɛ d‿yd.sɔn/ ; /be d‿yd.sõ/ ; en anglais : Hudson Bay) est à la fois une baie et une mer de l'océan Arctique. Située au Canada, elle borde les provinces du Manitoba, de l'Ontario et du Québec ainsi que le territoire du Nunavut."
Q623173;vivant;"Baleine de Cuvier";"Cuvier's beaked whale";"phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"Un individu a plongé à 2 992 mètres et un autre est resté trois heures quarante-deux sous l'eau sans respirer une seule fois.";"La baleine de Cuvier ou baleine à bec de Cuvier ou ziphius de Cuvier, également connue sous le nom de baleine à bec d'oie (Ziphius cavirostris), est la seule espèce actuelle du genre Ziphius."
